label,start,settled,up_fill,dn_fill,up_fill_t,dn_fill_t,pair_sh,pair_pnl,leg_pnl,pnl,paired,exit_t,exit_p,adverse,flat,band_reject,note
15m,1789996500,Down,38.78,0.04,477s,440s,0.04,0.0008,-4.3284,-4.3276,1,resolution | Up:540s*,0.40,1,0,10,pair 0sh +$0.00 | Up naked 39sh -> 0.40 ($-4.33)
5m,1789996800,Down,50.0,50.0,36s,134s,50.0,1.0,0.0,1.0,1,resolution | Down:156s,0.49,0,0,15,pair 50sh +$1.00 | Down naked 0sh -> 0.49 ($+0.00)
5m,1789997100,Down,50.0,0.0,69s,,0.0,0.0,-12.8974,-12.8974,0,Up:180s*,0.24,1,0,29,single-leg: Up naked 50sh -> 0.24 ($-12.90)
5m,1789997400,Up,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,60,
15m,1789997400,Up,50.0,28.0,71s,44s,28.0,0.56,0.0,0.56,1,resolution | Up:104s,0.49,0,0,80,pair 28sh +$0.56 | Up naked 22sh -> 0.49 ($+0.00)
5m,1789997700,Down,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,98,
5m,1789998000,Up,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,38,
5m,1789998300,Up,0.0,10.25,,32s,0.0,0.0,-4.7837,-4.7837,0,Down:180s*,0.03,1,0,28,single-leg: Down naked 10sh -> 0.03 ($-4.78)
15m,1789998300,Up,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,31,
5m,1789998600,Up,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,28,
5m,1789998900,Down,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,31,
5m,1789999200,Down,3.38,50.0,59s,42s,3.38,0.0676,-9.7696,-9.702,1,resolution | Down:180s*,0.29,1,0,18,pair 3sh +$0.07 | Down naked 47sh -> 0.29 ($-9.77)
15m,1789999200,Down,0.0,3.2,,108s,0.0,0.0,0.0,0.0,0,Down:192s,0.49,0,0,18,single-leg: Down naked 3sh -> 0.49 ($+0.00)
5m,1789999500,Down,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,45,
5m,1789999800,Up,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,36,
5m,1790000100,Up,0.0,50.0,,32s,0.0,0.0,0.0,0.0,0,Down:77s,0.49,0,0,27,single-leg: Down naked 50sh -> 0.49 ($+0.00)
15m,1790000100,Up,0.0,8.26,,41s,0.0,0.0,0.0,0.0,0,Down:74s,0.49,0,0,10,single-leg: Down naked 8sh -> 0.49 ($+0.00)
5m,1790000400,Up,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,49,
5m,1790000700,Up,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,0,
